date_time,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data

2026-01-14 15:37:27.508312,CSI_DATA,10518,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81504172,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,-4,-12,-15,-12,-15,-12,-15,-12,-15,-11,-15,-11,-15,-10,-15,-10,-14,-9,-13,-9,-13,-9,-13,-9,-13,-9,-12,-9,-12,-9,-12,-9,-11,-9,-11,-9,-10,-9,-10,-9,-10,-8,-9,-8,-9,-8,-9,-9,-8,-9,-8,-9,-8,-5,-4,-9,-7,-9,-7,-9,-6,-9,-6,-10,-6,-10,-6,-10,-6,-10,-6,-9,-6,-10,-6,-10,-6,-10,-6,-10,-6,-10,-6,-10,-6,-11,-6,-10,-7,-10,-7,-10,-7,-10,-8,-9,-8,-9,-8,-9,-8,-9,-8,-8,-8,-8,-9,-2,-3,0,0,0,0,0,0,0,0]"

2026-01-14 15:37:27.706665,CSI_DATA,10519,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81555037,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,4,-13,16,-13,15,-13,15,-13,15,-13,14,-13,13,-13,13,-13,12,-12,12,-12,12,-12,12,-11,11,-11,11,-10,11,-10,11,-9,11,-9,10,-9,10,-8,10,-8,10,-8,10,-7,10,-7,10,-6,10,-6,10,-6,10,-3,5,-5,10,-5,10,-4,10,-4,10,-4,11,-4,11,-4,11,-4,11,-4,11,-4,11,-4,11,-4,11,-4,11,-4,11,-4,12,-5,12,-5,12,-5,12,-6,12,-6,11,-6,11,-6,11,-7,10,-7,10,-8,10,-8,9,-2,2,0,0,0,0,0,0,0,0]"

2026-01-14 15:37:27.804923,CSI_DATA,10520,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81606871,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,4,-2,16,-6,16,-6,16,-7,16,-6,15,-6,15,-5,14,-5,14,-4,14,-4,14,-4,13,-4,13,-4,12,-4,12,-4,12,-5,11,-5,11,-5,10,-5,10,-5,10,-5,9,-5,9,-5,9,-5,9,-6,9,-6,8,-6,4,-3,8,-7,8,-7,7,-7,7,-7,7,-7,7,-8,7,-7,7,-8,7,-8,7,-8,8,-8,8,-8,8,-8,8,-8,8,-8,8,-8,8,-8,9,-8,9,-8,9,-7,9,-7,10,-7,10,-6,10,-6,10,-6,10,-5,2,-2,0,0,0,0,0,0,0,0]"

2026-01-14 15:37:27.821929,CSI_DATA,10521,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81657051,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,1,-6,6,-24,6,-24,6,-24,6,-24,6,-23,7,-22,7,-21,7,-21,7,-20,6,-20,6,-20,5,-19,5,-19,5,-18,4,-18,4,-17,3,-17,3,-17,2,-16,2,-16,2,-16,2,-15,1,-15,1,-16,0,-16,0,-16,0,-8,-1,-15,-1,-15,-2,-15,-2,-15,-2,-16,-3,-16,-3,-16,-2,-16,-2,-15,-3,-16,-3,-17,-3,-17,-3,-17,-3,-17,-3,-17,-3,-17,-2,-18,-2,-18,-1,-18,0,-17,0,-17,0,-17,1,-17,1,-17,2,-17,3,-16,0,-4,0,0,0,0,0,0,0,0]"

2026-01-14 15:37:27.836035,CSI_DATA,10522,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81708040,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-1,5,-1,20,-1,20,0,19,-1,19,-1,19,-2,18,-3,18,-3,17,-3,17,-2,17,-1,16,-1,16,-1,16,-1,15,-1,15,0,15,0,14,0,13,0,13,0,13,0,13,1,13,1,12,2,12,3,12,2,12,1,6,3,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,5,12,5,12,5,12,5,12,5,13,5,13,5,13,5,13,4,14,3,14,2,14,2,14,2,14,2,14,1,14,1,14,0,14,0,3,0,0,0,0,0,0,0,0]"
