date_time,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data

2026-01-14 17:30:14.099086,CSI_DATA,76427,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,416829410,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,3,-11,13,-11,13,-11,13,-11,13,-11,13,-11,13,-11,13,-11,12,-11,12,-10,12,-10,12,-10,12,-10,12,-9,12,-9,11,-9,11,-8,11,-8,10,-8,11,-8,10,-7,10,-7,10,-6,10,-6,11,-5,11,-5,11,-3,5,-4,11,-4,11,-4,11,-4,11,-4,12,-4,12,-4,12,-4,12,-4,12,-3,12,-3,13,-4,12,-4,12,-4,12,-4,12,-5,12,-5,12,-5,12,-6,12,-6,11,-7,11,-7,10,-7,10,-7,10,-7,9,-8,9,-2,2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.122892,CSI_DATA,76429,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,416932063,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,2,-3,9,-11,9,-11,9,-11,10,-11,9,-11,9,-11,9,-10,9,-9,9,-9,9,-10,8,-10,8,-10,7,-10,7,-10,7,-10,7,-10,6,-9,6,-8,6,-9,6,-9,6,-8,5,-8,4,-8,4,-9,4,-9,4,-10,1,-5,3,-9,3,-10,4,-10,4,-10,3,-10,3,-10,3,-10,3,-10,3,-10,3,-11,3,-11,3,-11,3,-10,3,-10,3,-10,4,-10,4,-10,4,-10,4,-10,4,-9,5,-9,5,-8,5,-8,5,-8,5,-7,5,-7,1,-2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.235775,CSI_DATA,76431,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417034582,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,-3,-14,-11,-14,-11,-15,-11,-15,-11,-15,-11,-14,-11,-14,-12,-14,-12,-14,-11,-14,-11,-14,-11,-14,-11,-14,-10,-14,-10,-14,-10,-13,-9,-13,-9,-13,-8,-13,-8,-13,-8,-13,-8,-13,-7,-13,-7,-14,-6,-14,-6,-14,-6,-7,-3,-14,-6,-14,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-5,-15,-6,-15,-6,-15,-6,-15,-6,-14,-7,-14,-8,-13,-8,-13,-8,-13,-8,-13,-8,-12,-8,-11,-9,-11,-9,-3,-3,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.251780,CSI_DATA,76433,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417135399,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,-3,-15,-9,-15,-9,-16,-8,-16,-8,-16,-9,-15,-9,-15,-9,-14,-9,-14,-9,-15,-9,-15,-8,-15,-8,-15,-8,-14,-8,-14,-7,-14,-7,-14,-7,-13,-6,-13,-6,-13,-6,-13,-6,-13,-5,-13,-5,-13,-4,-14,-4,-14,-4,-7,-2,-14,-3,-14,-2,-14,-2,-14,-2,-14,-2,-15,-2,-15,-2,-15,-2,-15,-3,-15,-2,-15,-2,-15,-2,-15,-2,-15,-3,-15,-3,-15,-3,-15,-3,-15,-4,-15,-5,-14,-5,-14,-6,-14,-6,-14,-6,-13,-6,-13,-7,-12,-7,-3,-2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.263931,CSI_DATA,76435,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417237400,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,0,-16,1,-16,2,-16,2,-16,2,-16,2,-16,2,-15,1,-15,1,-15,0,-15,1,-15,1,-15,1,-15,1,-15,1,-14,0,-13,0,-13,1,-12,1,-13,1,-13,1,-14,0,-13,0,-12,1,-12,3,-11,3,-11,2,-6,1,-11,2,-11,3,-11,3,-11,3,-13,3,-13,4,-12,4,-11,3,-10,3,-11,3,-12,3,-12,4,-12,3,-12,3,-12,2,-13,2,-13,3,-13,2,-13,1,-13,1,-13,0,-13,0,-13,0,-12,0,-12,-1,-11,-2,-3,-1,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.343025,CSI_DATA,76437,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417343557,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-1,3,-2,12,-1,13,-1,13,-1,13,-1,13,-1,13,-2,12,-2,12,-2,12,-2,11,-2,11,-2,11,-2,11,-2,11,-2,10,-3,10,-3,9,-2,10,-2,10,-2,10,-2,10,-1,9,-1,8,-1,8,0,9,0,10,0,5,0,9,0,9,1,9,1,9,0,9,0,10,0,9,1,10,0,9,0,9,0,9,1,10,1,9,0,9,0,9,-1,9,-1,9,-1,10,-2,10,-2,9,-2,8,-3,8,-3,8,-3,8,-2,8,-2,7,-1,1,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.468269,CSI_DATA,76439,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417441396,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,0,3,2,15,3,15,3,15,3,15,3,15,3,15,2,15,2,15,2,14,3,14,3,14,3,14,3,14,3,14,3,13,3,13,3,13,3,12,3,12,3,12,3,12,3,11,4,11,5,11,5,11,6,11,3,5,6,11,6,10,6,10,6,10,6,11,6,11,6,11,6,11,6,11,7,11,7,11,7,11,7,11,6,11,6,12,6,12,6,12,5,12,5,12,4,12,4,12,3,12,3,11,3,12,3,12,2,12,0,3,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.570116,CSI_DATA,76441,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417543378,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,2,-4,10,-14,9,-14,9,-14,10,-14,10,-13,10,-13,10,-13,10,-13,10,-12,10,-13,9,-13,9,-12,9,-12,9,-11,9,-11,8,-11,8,-11,7,-11,7,-10,7,-10,7,-10,7,-10,6,-10,6,-10,5,-10,5,-10,2,-5,5,-10,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,5,-11,5,-10,5,-10,6,-10,6,-9,6,-9,6,-9,6,-8,6,-8,6,-8,1,-2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.589217,CSI_DATA,76442,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417594384,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,0,4,3,16,3,16,4,16,4,16,3,16,3,16,3,15,2,15,2,15,3,15,3,15,2,14,3,14,2,13,3,13,3,13,3,12,3,12,4,11,4,11,4,11,4,10,4,10,5,10,5,10,5,10,3,4,6,9,6,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,8,10,8,10,8,9,7,9,7,10,8,10,8,10,7,10,7,11,7,11,6,11,6,11,5,11,5,11,4,11,4,11,3,11,0,2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.642386,CSI_DATA,76443,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417645420,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,0,-12,-1,-12,-1,-12,0,-13,0,-14,0,-15,-1,-14,-2,-13,-2,-12,-1,-12,-1,-13,0,-13,-1,-12,-1,-12,-1,-12,-1,-12,-1,-12,0,-12,1,-11,1,-11,1,-11,1,-10,2,-9,2,-10,2,-10,3,-10,3,-5,2,-9,4,-10,4,-10,4,-9,5,-10,5,-11,5,-11,5,-10,4,-10,5,-10,5,-10,6,-11,5,-11,6,-10,5,-11,5,-11,5,-12,5,-12,4,-12,3,-11,3,-11,2,-11,2,-11,2,-12,2,-11,1,-11,1,-3,0,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:14.948320,CSI_DATA,76449,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,417951379,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,4,-1,16,-4,17,-4,17,-5,17,-5,17,-4,17,-4,17,-4,16,-3,16,-3,16,-4,16,-4,16,-4,16,-4,16,-4,15,-4,15,-4,14,-4,14,-4,14,-4,14,-4,14,-4,13,-4,13,-5,13,-6,13,-6,13,-6,6,-3,12,-6,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-8,12,-7,12,-7,12,-7,12,-7,12,-7,12,-6,12,-6,12,-5,13,-5,13,-5,13,-5,13,-5,12,-4,12,-3,3,-1,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:15.008367,CSI_DATA,76450,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,418003060,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,3,2,14,11,14,11,15,11,15,11,14,11,14,12,13,12,13,12,13,11,13,11,14,11,14,11,14,10,13,10,13,10,13,10,12,9,12,9,13,9,12,9,12,9,12,8,12,8,13,7,13,7,13,7,6,3,12,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,5,13,5,13,6,13,6,13,6,13,7,12,7,12,8,11,8,11,8,11,8,11,8,10,8,9,8,9,9,2,2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:15.047030,CSI_DATA,76451,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,418053396,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,3,2,13,11,14,11,14,11,14,11,14,11,14,12,13,12,13,12,13,11,13,11,13,11,13,11,13,10,13,10,13,10,13,9,12,9,12,8,12,8,12,8,12,8,12,8,12,7,12,7,12,7,12,7,6,3,12,6,13,6,13,5,12,5,13,5,13,6,13,5,12,6,12,6,13,6,13,5,13,5,12,5,12,5,12,6,12,6,12,6,12,6,12,7,11,7,11,7,11,7,10,7,10,7,9,7,9,8,2,2,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:15.122179,CSI_DATA,76452,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,418104604,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,3,2,13,8,14,8,14,8,14,8,14,8,14,8,13,9,13,8,13,8,13,8,14,7,14,7,13,7,13,7,13,7,12,7,12,6,12,6,12,6,12,6,12,6,12,5,12,5,12,4,13,4,13,4,6,2,12,4,12,3,13,3,13,3,13,3,13,4,13,4,13,4,12,4,13,4,13,3,13,3,13,3,13,4,13,4,12,4,12,5,12,5,12,6,11,6,11,6,11,6,11,6,10,6,9,7,9,7,2,1,0,0,0,0,0,0,0,0]"

2026-01-14 17:30:15.151005,CSI_DATA,76453,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,418155397,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,2,-11,11,-10,12,-10,12,-10,12,-11,12,-11,12,-11,11,-11,11,-10,11,-10,11,-10,11,-10,11,-10,11,-10,10,-10,10,-10,10,-9,10,-9,10,-9,10,-9,10,-9,10,-8,10,-8,10,-8,10,-7,10,-7,10,-4,5,-7,10,-7,10,-7,10,-7,10,-7,11,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-8,10,-8,9,-8,9,-8,8,-8,8,-8,7,-9,7,-9,7,-9,6,-9,6,-3,1,0,0,0,0,0,0,0,0]"

