date_time,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data

2026-01-14 18:36:55.084176,CSI_DATA,3702,1a:00:00:00:00:00,-55,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,14296,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-2,-5,-8,-19,-8,-19,-8,-19,-8,-19,-8,-19,-7,-19,-6,-19,-6,-19,-6,-19,-6,-19,-6,-19,-6,-18,-5,-18,-5,-17,-5,-17,-5,-17,-5,-16,-5,-15,-5,-14,-4,-14,-4,-14,-4,-13,-5,-13,-5,-12,-6,-12,-6,-11,-3,-6,-6,-11,-7,-10,-7,-10,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-9,-9,-10,-9,-10,-9,-10,-9,-10,-9,-10,-9,-11,-9,-11,-9,-11,-10,-11,-10,-11,-11,-10,-11,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-9,-13,-3,-4,0,0,0,0,0,0,0,0]"

2026-01-14 18:36:55.097809,CSI_DATA,3703,1a:00:00:00:00:00,-55,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,65347,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,0,-6,2,-21,1,-21,1,-20,2,-20,2,-20,2,-21,3,-20,4,-20,3,-19,3,-19,3,-19,3,-19,3,-18,3,-17,3,-17,3,-17,2,-16,2,-15,2,-15,2,-15,2,-14,2,-14,1,-13,0,-13,0,-13,-1,-13,-1,-7,-2,-12,-2,-12,-3,-12,-3,-12,-4,-12,-4,-12,-4,-12,-4,-12,-5,-12,-5,-12,-6,-12,-6,-12,-6,-12,-6,-13,-6,-13,-7,-13,-7,-13,-6,-14,-6,-14,-5,-14,-5,-14,-5,-14,-5,-14,-5,-15,-4,-15,-4,-15,-1,-4,0,0,0,0,0,0,0,0]"

2026-01-14 18:36:55.111299,CSI_DATA,3704,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,116335,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,2,-17,11,-17,11,-17,11,-17,11,-17,11,-18,10,-18,10,-17,9,-17,9,-17,9,-16,9,-16,9,-16,9,-16,8,-15,8,-15,8,-14,8,-13,7,-13,7,-13,7,-13,6,-12,6,-11,7,-10,7,-10,8,-10,8,-5,4,-8,8,-8,8,-8,8,-7,9,-7,9,-7,9,-7,9,-7,10,-6,10,-6,11,-6,11,-6,11,-6,11,-6,11,-6,12,-6,12,-6,12,-7,12,-7,12,-8,12,-8,12,-8,12,-9,12,-9,12,-9,12,-9,12,-3,3,0,0,0,0,0,0,0,0]"

2026-01-14 18:36:55.125853,CSI_DATA,3705,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,167601,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,-5,-9,-19,-9,-19,-9,-19,-9,-19,-9,-19,-8,-20,-8,-19,-7,-19,-7,-19,-7,-18,-7,-18,-7,-18,-7,-18,-6,-17,-6,-17,-6,-16,-6,-16,-6,-15,-6,-14,-5,-14,-5,-14,-5,-13,-6,-12,-7,-12,-7,-11,-7,-11,-4,-6,-7,-10,-8,-10,-8,-10,-8,-9,-9,-9,-9,-9,-9,-9,-9,-8,-10,-8,-10,-8,-11,-8,-11,-8,-11,-8,-11,-9,-12,-9,-12,-9,-12,-9,-12,-9,-12,-10,-11,-10,-11,-11,-11,-10,-11,-10,-11,-11,-11,-12,-11,-12,-3,-3,0,0,0,0,0,0,0,0]"

2026-01-14 18:36:55.199286,CSI_DATA,3706,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,218742,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,2,-5,10,-18,10,-18,10,-18,10,-18,10,-18,11,-17,11,-17,11,-17,11,-16,10,-16,10,-16,10,-16,10,-15,10,-14,10,-14,10,-14,9,-14,8,-13,8,-13,8,-12,8,-12,7,-11,6,-11,6,-12,5,-12,5,-12,2,-6,4,-11,3,-11,3,-12,2,-12,2,-12,2,-12,2,-12,2,-12,1,-12,1,-13,0,-13,0,-13,0,-13,0,-14,0,-14,0,-14,0,-15,1,-15,1,-15,2,-15,2,-15,3,-15,3,-15,3,-15,3,-15,3,-15,0,-4,0,0,0,0,0,0,0,0]"
