date_time,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data

2026-01-14 18:49:32.419117,CSI_DATA,18548,1a:00:00:00:00:00,-52,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146720969,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,5,1,20,4,20,4,20,4,20,4,20,4,19,5,19,5,19,5,18,4,18,4,18,4,18,4,17,4,17,3,17,3,17,2,16,2,16,2,16,2,16,2,16,1,15,1,15,1,16,0,16,0,16,0,7,0,15,-1,16,-1,15,-1,15,-2,15,-1,15,-1,15,-1,15,-1,15,-1,15,-1,16,-1,15,-1,15,-1,15,-1,16,-1,16,-1,16,-1,16,0,16,1,16,1,15,2,15,2,15,2,15,3,15,4,14,4,3,1,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.477095,CSI_DATA,18549,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146773223,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,4,-4,18,-13,18,-14,18,-13,18,-13,18,-13,18,-12,18,-12,18,-11,17,-11,17,-11,16,-12,16,-12,16,-11,16,-11,15,-10,15,-11,14,-11,13,-10,13,-10,13,-10,13,-10,13,-10,12,-10,12,-11,12,-12,11,-12,5,-6,11,-12,11,-12,11,-12,11,-12,11,-12,11,-12,11,-12,11,-12,11,-12,11,-13,10,-13,10,-12,10,-12,11,-12,11,-12,12,-12,12,-12,12,-12,13,-11,13,-11,13,-10,13,-9,13,-9,13,-9,13,-8,14,-8,3,-2,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.519543,CSI_DATA,18550,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146830705,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,2,5,10,23,11,22,11,22,10,22,10,22,9,22,9,22,8,21,8,21,8,20,8,20,8,19,8,19,8,18,8,18,8,17,8,16,8,16,8,15,8,15,8,15,9,14,9,13,10,13,10,13,10,13,5,6,10,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,11,12,11,12,11,12,11,11,11,12,11,12,12,12,12,12,12,11,13,11,13,10,13,10,14,9,14,9,14,9,14,8,14,7,14,1,3,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.532850,CSI_DATA,18551,1a:00:00:00:00:00,-55,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146873124,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,1,5,7,21,7,21,7,21,7,21,6,21,6,21,6,21,5,20,5,19,5,19,5,19,5,18,5,17,5,17,5,16,5,16,5,15,5,15,5,14,5,14,5,14,5,13,6,13,6,13,7,13,7,13,3,6,7,12,7,12,8,12,8,12,8,12,8,12,8,12,8,12,8,11,8,11,9,11,8,11,8,11,8,11,8,12,8,12,8,12,8,13,7,13,7,13,6,13,5,13,5,13,5,14,4,14,4,14,0,3,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.545839,CSI_DATA,18552,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146929841,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,5,-2,20,-8,20,-8,20,-8,20,-8,20,-7,19,-7,19,-6,18,-6,18,-6,18,-6,17,-7,17,-7,16,-7,16,-6,15,-6,15,-7,14,-7,13,-7,13,-7,14,-7,13,-7,13,-7,13,-8,12,-9,12,-9,12,-9,6,-5,12,-10,12,-10,11,-10,11,-10,12,-10,12,-10,12,-10,12,-10,12,-10,11,-11,11,-11,12,-11,12,-11,12,-11,12,-11,12,-11,13,-10,13,-10,13,-10,14,-9,14,-8,14,-8,15,-7,15,-7,14,-6,14,-6,3,-2,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.563321,CSI_DATA,18553,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,146975122,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,3,-5,12,-17,12,-17,12,-17,12,-16,12,-16,12,-16,12,-16,12,-15,12,-15,11,-14,11,-15,11,-14,10,-14,10,-14,10,-13,9,-14,8,-14,8,-13,8,-13,8,-13,7,-13,7,-13,6,-13,6,-13,5,-14,5,-14,2,-7,5,-14,5,-14,4,-14,4,-14,4,-14,4,-14,4,-14,4,-14,4,-14,4,-15,4,-15,4,-14,4,-14,4,-14,4,-15,4,-15,4,-15,5,-15,5,-15,6,-15,6,-14,7,-14,7,-14,7,-13,7,-13,8,-13,2,-4,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.577932,CSI_DATA,18554,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147027862,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-5,-4,-17,-13,-17,-13,-17,-12,-17,-12,-17,-13,-16,-13,-16,-13,-15,-13,-15,-12,-15,-12,-15,-11,-15,-11,-15,-11,-14,-10,-14,-10,-14,-10,-14,-9,-13,-8,-14,-8,-14,-8,-13,-8,-13,-7,-13,-7,-14,-6,-14,-6,-14,-6,-7,-3,-14,-5,-14,-5,-15,-4,-15,-4,-15,-5,-15,-5,-15,-5,-15,-5,-15,-4,-15,-4,-16,-4,-16,-4,-16,-4,-16,-4,-16,-5,-16,-5,-16,-5,-16,-6,-16,-7,-16,-7,-16,-8,-15,-8,-15,-8,-15,-8,-14,-9,-14,-10,-4,-3,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.590459,CSI_DATA,18555,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147077126,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-1,5,-1,22,-1,21,-1,21,-1,21,-1,21,-2,21,-2,20,-2,20,-2,19,-1,19,-1,19,0,19,0,18,0,18,0,17,0,17,1,16,1,16,1,16,1,16,1,15,1,15,2,15,3,15,4,15,4,15,2,7,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,5,15,6,15,5,15,5,15,5,15,5,16,5,16,4,16,4,16,3,16,2,17,2,16,1,16,1,16,1,16,0,16,0,16,0,4,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.634231,CSI_DATA,18556,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147128144,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,-5,-15,-17,-15,-17,-15,-17,-15,-17,-14,-17,-14,-17,-13,-17,-13,-17,-12,-16,-12,-16,-13,-16,-13,-15,-12,-15,-12,-14,-12,-14,-12,-13,-12,-13,-12,-12,-12,-12,-12,-12,-12,-11,-12,-11,-12,-11,-12,-10,-13,-10,-13,-10,-7,-5,-13,-9,-13,-9,-14,-9,-13,-9,-13,-9,-14,-9,-13,-9,-13,-9,-13,-9,-14,-9,-14,-9,-14,-9,-13,-9,-14,-9,-14,-9,-14,-9,-14,-10,-13,-10,-13,-11,-12,-11,-12,-11,-11,-11,-11,-11,-11,-12,-11,-12,-10,-12,-3,-3,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.648548,CSI_DATA,18557,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147182186,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-6,-1,-21,-1,-21,-1,-21,0,-22,-1,-21,-1,-21,-2,-20,-2,-20,-2,-20,-2,-19,-1,-19,-1,-19,-1,-19,-1,-18,-1,-18,-1,-17,0,-16,0,-16,0,-16,0,-16,0,-16,0,-15,1,-15,1,-15,2,-15,3,-15,3,-8,1,-14,3,-15,3,-15,4,-14,4,-14,4,-15,4,-15,3,-15,3,-14,3,-14,4,-14,4,-15,4,-14,4,-14,4,-15,4,-15,4,-15,4,-15,3,-16,3,-15,2,-15,2,-15,1,-15,1,-15,1,-15,0,-15,-1,-4,-1,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.662296,CSI_DATA,18558,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147230134,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-5,4,-17,17,-17,17,-17,17,-17,16,-17,16,-17,16,-17,15,-17,14,-17,14,-16,14,-16,14,-15,14,-15,14,-15,13,-14,13,-14,13,-13,13,-12,13,-12,13,-12,12,-12,12,-11,12,-10,13,-10,13,-10,14,-9,14,-5,7,-9,13,-9,13,-9,14,-8,14,-9,14,-9,14,-9,13,-9,13,-8,14,-8,14,-8,14,-8,14,-8,14,-9,14,-9,15,-9,15,-9,15,-10,14,-10,14,-11,13,-12,13,-12,12,-12,12,-12,12,-13,11,-13,11,-4,2,0,0,0,0,0,0,0,0]"

2026-01-14 18:49:32.702002,CSI_DATA,18559,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,147281118,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,-5,-12,-19,-12,-19,-12,-18,-12,-18,-12,-18,-11,-18,-11,-18,-10,-18,-10,-17,-10,-17,-11,-17,-11,-16,-11,-16,-10,-16,-10,-15,-10,-15,-10,-14,-10,-13,-10,-13,-10,-13,-10,-13,-10,-12,-10,-12,-11,-11,-11,-11,-12,-11,-6,-6,-11,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-10,-12,-10,-13,-10,-12,-9,-12,-9,-13,-10,-13,-10,-13,-10,-13,-10,-12,-11,-12,-11,-11,-12,-11,-12,-10,-12,-10,-12,-10,-12,-9,-13,-9,-13,-3,-4,0,0,0,0,0,0,0,0]"

