date_time,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data

2026-05-04 15:50:18.836002,CSI_DATA,32683,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,70240888,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-2,2,-7,11,-6,11,-6,12,-6,12,-6,12,-6,12,-6,12,-6,12,-6,12,-5,12,-5,12,-5,12,-5,13,-5,12,-4,12,-4,12,-3,12,-3,12,-3,12,-3,13,-3,13,-2,13,-2,13,-1,13,-1,13,-1,13,-1,6,0,13,0,14,0,14,0,14,0,15,0,15,0,15,1,15,1,15,1,16,1,16,1,17,0,17,0,17,0,18,0,18,0,19,-1,19,-1,19,-2,18,-3,19,-3,19,-4,20,-4,20,-5,19,-6,19,-2,4,0,0,0,0,0,0,0,0]"

2026-05-04 15:50:19.093257,CSI_DATA,32684,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,70291850,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-3,-2,-11,-8,-12,-8,-12,-8,-12,-8,-12,-8,-12,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-6,-13,-6,-13,-6,-13,-6,-13,-5,-13,-5,-13,-5,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-3,-14,-3,-14,-2,-14,-2,-7,-1,-14,-2,-15,-2,-15,-1,-15,-1,-15,-1,-16,-1,-16,-1,-16,-1,-16,0,-17,0,-17,0,-18,0,-18,-1,-18,-1,-19,-1,-19,-1,-19,-1,-20,-2,-20,-3,-20,-3,-20,-4,-20,-5,-20,-5,-20,-5,-20,-6,-20,-6,-5,-2,0,0,0,0,0,0,0,0]"

2026-05-04 15:50:19.183911,CSI_DATA,32685,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,70342859,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,1,-3,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,5,-12,5,-12,5,-13,5,-13,4,-13,4,-13,4,-13,3,-13,3,-13,3,-13,3,-13,3,-13,3,-13,2,-13,2,-13,1,-14,1,-14,1,-14,0,-7,0,-14,0,-15,0,-15,0,-15,0,-15,0,-16,0,-16,0,-16,-1,-16,-1,-17,-1,-17,-1,-18,-1,-18,-1,-18,-1,-19,0,-19,0,-19,1,-20,1,-20,2,-19,3,-20,4,-20,4,-20,4,-20,5,-20,5,-19,1,-5,0,0,0,0,0,0,0,0]"

2026-05-04 15:50:19.197412,CSI_DATA,32686,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,70395535,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,1,-3,7,-11,7,-11,7,-11,7,-12,7,-12,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,5,-12,5,-12,5,-12,5,-12,4,-13,3,-12,3,-12,3,-13,3,-13,3,-13,3,-13,3,-13,2,-13,2,-14,1,-14,0,-7,1,-15,0,-15,0,-15,0,-15,0,-16,0,-16,0,-16,0,-16,-1,-17,0,-17,0,-17,0,-18,0,-18,0,-18,0,-19,0,-19,0,-19,1,-19,1,-19,2,-19,3,-20,3,-20,4,-20,4,-20,5,-20,6,-19,1,-5,0,0,0,0,0,0,0,0]"

2026-05-04 15:50:19.210804,CSI_DATA,32687,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,70446001,0,47,0,128,1,"[47,-16,2,0,0,0,0,0,0,0,-4,1,-13,4,-13,4,-13,4,-13,4,-13,4,-12,4,-12,4,-12,4,-13,5,-12,5,-12,5,-12,6,-12,6,-12,6,-12,6,-12,6,-11,7,-11,7,-11,7,-11,7,-11,7,-11,8,-10,8,-10,8,-10,9,-10,9,-5,4,-10,10,-10,10,-9,11,-9,11,-10,11,-10,11,-10,11,-10,12,-10,12,-10,13,-10,13,-10,13,-11,13,-11,13,-12,14,-12,14,-12,14,-13,14,-14,14,-14,13,-15,13,-15,13,-15,13,-16,13,-16,12,-17,11,-5,2,0,0,0,0,0,0,0,0]"
